Ticker,MeanReAnn,std,Sharpe Ratio,beta,cluster,Risk Cluster
PNQI,0.16877560776235545,0.23283826851582892,0.6505614765472186,1.0581971838147768,0,Moderat/High Risk - Slightly Above Market Volatility
SDOG,-0.023817917630576058,0.2138770862012605,-0.1922502235320509,1.1050321376078123,1,Moderat Risk - Slighty Below Market Volatility
FEX,0.04417897320791275,0.2144550436681764,0.12533616718990417,1.1295228085451887,1,Moderat Risk - Slighty Below Market Volatility
IXC,-0.10186607072310894,0.2667020439473766,-0.44681348878834154,1.1629805807857423,2,High Risk - Double Market Volatile
SIL,-0.10953770426339016,0.3800377517855614,-0.33375027524886297,0.8023171828829231,2,High Risk - Double Market Volatile
JHML,0.07748107509210134,0.19865091521118644,0.30294889418517224,1.0496513983770628,0,Moderat/High Risk - Slightly Above Market Volatility
IWC,0.006163986822530276,0.24553682525204468,-0.04535373936695058,1.169464844889825,1,Moderat Risk - Slighty Below Market Volatility
PKW,0.04162883537999984,0.21691160373598906,0.11216013786708869,1.1148721532432506,1,Moderat Risk - Slighty Below Market Volatility
JPIN,-0.007344302972791761,0.1735888889943817,-0.14196935711472516,0.8843201472542056,1,Moderat Risk - Slighty Below Market Volatility
PTH,0.21633812970902433,0.2824275699766686,0.7047404392052337,1.1344605481628123,0,Moderat/High Risk - Slightly Above Market Volatility
MJ,-0.21104918236150993,0.40919544233236566,-0.5580442955570243,1.1921258351466666,2,High Risk - Double Market Volatile
INTF,0.0026504674509819637,0.18614653873080308,-0.07869892531390843,0.9485728907830376,1,Moderat Risk - Slighty Below Market Volatility
IWX,0.046181986221571325,0.18508835079982702,0.1560443220589673,0.9588892682923784,1,Moderat Risk - Slighty Below Market Volatility
FSTA,0.04416161135522367,0.16259852245933681,0.1652020630257653,0.6863460839063007,1,Moderat Risk - Slighty Below Market Volatility
IWL,0.11134832313461218,0.18709010274996873,0.5026899967033553,0.9800215891629124,0,Moderat/High Risk - Slightly Above Market Volatility
EWQ,0.01653606742762226,0.21201493206749442,-0.003603201741161065,1.0448301672760185,1,Moderat Risk - Slighty Below Market Volatility
SPYX,0.10313497287827489,0.18789100406280018,0.4568338612400285,0.9873070716724333,0,Moderat/High Risk - Slightly Above Market Volatility
IYM,0.011236076204778067,0.22692919344350568,-0.02672165578701338,1.1308444660567718,1,Moderat Risk - Slighty Below Market Volatility
LRGF,0.059888291840220376,0.20384310489323124,0.20892682076505475,1.070849740091932,0,Moderat/High Risk - Slightly Above Market Volatility
FNCL,0.039268907248799945,0.2411229892052221,0.09111079503954721,1.1657899335073025,1,Moderat Risk - Slighty Below Market Volatility
JKD,0.08608606100758287,0.19692911751057057,0.34929350152544425,1.0226021844187818,0,Moderat/High Risk - Slightly Above Market Volatility
IHDG,0.06847970610257237,0.1534817326742205,0.33345796409013795,0.7546448468720307,0,Moderat/High Risk - Slightly Above Market Volatility
XME,-0.10620658068854272,0.30364680886813916,-0.40674420768300035,1.2528587500259807,2,High Risk - Double Market Volatile
VTHR,0.08694296787692157,0.19439793715126788,0.35824952104676877,1.0290829532240309,0,Moderat/High Risk - Slightly Above Market Volatility
KBA,0.038963498309507294,0.21345301396736907,0.10149071173489746,0.6864154839586237,1,Moderat Risk - Slighty Below Market Volatility
RWL,0.05566698377519863,0.196343147414103,0.19540780659016163,1.0239289010094113,0,Moderat/High Risk - Slightly Above Market Volatility
REGL,0.020503928734351806,0.18354325060193472,0.017455987751358013,0.9085159474079886,1,Moderat Risk - Slighty Below Market Volatility
CGW,0.05662556914875516,0.1875152754186878,0.20971928319411987,0.9557853096519098,0,Moderat/High Risk - Slightly Above Market Volatility
QUS,0.09639715861692322,0.18332094739137195,0.43146819685618726,0.9591023419474357,0,Moderat/High Risk - Slightly Above Market Volatility
IDLV,0.0012733030814042756,0.16168041930793353,-0.09912577532392203,0.7882868241164227,1,Moderat Risk - Slighty Below Market Volatility
DTD,0.04800551171272027,0.19136473449933017,0.160455434973719,1.002326356640188,1,Moderat Risk - Slighty Below Market Volatility
IVOG,0.03731608082721105,0.21972730009206373,0.09109510205980093,1.1325059752623896,1,Moderat Risk - Slighty Below Market Volatility
NXTG,0.08137241067270273,0.19599866068002653,0.3269022882625856,0.9335618528159443,0,Moderat/High Risk - Slightly Above Market Volatility
XSD,0.20129001861016826,0.26947199702331603,0.6827797346016942,1.1690635780778207,0,Moderat/High Risk - Slightly Above Market Volatility
JKG,0.03068140181750012,0.2213565628381185,0.0604517961696313,1.1466951117835327,1,Moderat Risk - Slighty Below Market Volatility
GWX,-0.018456185445611784,0.19579605063603536,-0.1826195438031528,0.9950632041859879,1,Moderat Risk - Slighty Below Market Volatility
MOO,0.04437801524453788,0.18324895392333165,0.14776627459421612,0.924556080791159,1,Moderat Risk - Slighty Below Market Volatility
SDS,-0.23310352089775122,0.37111610961674546,-0.6747309384018519,-1.9263337035939287,3,Betting against the market 
RYH,0.08649975320756642,0.209515279512301,0.33028499577045684,1.0187872588309608,0,Moderat/High Risk - Slightly Above Market Volatility
SDIV,-0.1341520941586779,0.2419684740191585,-0.6259166396473876,1.158091235796863,2,High Risk - Double Market Volatile
IDU,0.060259200086487885,0.22408817318201552,0.1917066816890613,0.8601290706278074,0,Moderat/High Risk - Slightly Above Market Volatility
PWB,0.1233481252643287,0.20045229773101844,0.5290441988678615,1.0277967122477991,0,Moderat/High Risk - Slightly Above Market Volatility
DHS,0.0026343895671148143,0.18559401125417707,-0.07901984732039738,0.9493128850563121,1,Moderat Risk - Slighty Below Market Volatility
XMMO,0.15186647248456353,0.2326117759858441,0.5785024077747154,1.1485098977154722,0,Moderat/High Risk - Slightly Above Market Volatility
FTA,0.005559943533520961,0.22771758274608558,-0.05155533588976167,1.174046909082919,1,Moderat Risk - Slighty Below Market Volatility
CFO,0.08353472283101171,0.14402897021639052,0.45987083523196776,0.6468603997255938,0,Moderat/High Risk - Slightly Above Market Volatility
JNUG,-0.6859090281630522,1.1568566779853329,-0.607861839366041,2.337537455049665,2,High Risk - Double Market Volatile
IPO,0.11941479426008739,0.24928712470384096,0.4096272295707297,1.1407425868219456,0,Moderat/High Risk - Slightly Above Market Volatility
ROM,0.36102606201988263,0.4295659696093689,0.8001706055357555,2.077409259431137,0,Moderat/High Risk - Slightly Above Market Volatility
PPA,0.09681343624418237,0.25139874834633136,0.31628413732053773,1.2279230742177085,0,Moderat/High Risk - Slightly Above Market Volatility
UDOW,0.09125509582739388,0.6153275340859057,0.12018817902770632,3.218213660268386,2,High Risk - Double Market Volatile
EPI,-0.045131418367560516,0.21782633431016193,-0.2866109764242954,0.7752103662595308,1,Moderat Risk - Slighty Below Market Volatility
IYK,0.025964373553373,0.18572161655399944,0.04665247758520232,0.8922778651354357,1,Moderat Risk - Slighty Below Market Volatility
PEY,-0.0011949067671317426,0.195524583687506,-0.09459120903533505,0.9707063715478438,1,Moderat Risk - Slighty Below Market Volatility
FNX,0.007995806002883965,0.2408921229602649,-0.03862390302671191,1.232531047100812,1,Moderat Risk - Slighty Below Market Volatility
VIOV,-0.02726831664332563,0.24068665945971182,-0.18517152858979227,1.1684117384422803,1,Moderat Risk - Slighty Below Market Volatility
MLPA,-0.17765876382421986,0.29729192779997854,-0.655782231515517,1.0090007111463277,2,High Risk - Double Market Volatile
OIH,-0.36703505617309395,0.4019395473936997,-0.9562011468272811,1.504114803190801,2,High Risk - Double Market Volatile
XHE,0.14624111110373694,0.22842230996861268,0.5644856280520699,1.0719464062984478,0,Moderat/High Risk - Slightly Above Market Volatility
JKK,0.0787599995829591,0.2376030828477213,0.25866667572806085,1.177646673427593,0,Moderat/High Risk - Slightly Above Market Volatility
IMTM,0.033488793678259965,0.1771840089143987,0.09136712605978517,0.8928826552659779,1,Moderat Risk - Slighty Below Market Volatility
LVHD,0.019781783798135555,0.19023892940523277,0.013045614827073827,0.9230942305560805,1,Moderat Risk - Slighty Below Market Volatility
EEMA,0.046664925819755565,0.19115245895124428,0.1536204450670731,0.8355421090092466,1,Moderat Risk - Slighty Below Market Volatility
FPXI,0.14076244872793087,0.19914234546155815,0.619970847695794,0.9569115527921687,0,Moderat/High Risk - Slightly Above Market Volatility
FIW,0.10071266066530282,0.20918891930599934,0.3987432075371433,1.0508066537781502,0,Moderat/High Risk - Slightly Above Market Volatility
SPXU,-0.3690840883394726,0.5527680681304279,-0.6989985685068618,-2.837372687150173,3,Betting against the market 
FCOM,0.03363073411450368,0.20931902085891993,0.07801839530632299,0.9084537916742246,1,Moderat Risk - Slighty Below Market Volatility
CXSE,0.17166720279903624,0.23574120119907566,0.6548163919326017,0.8736528686061718,0,Moderat/High Risk - Slightly Above Market Volatility
CFA,0.06266800369896242,0.20400791880510002,0.2223835425834865,1.0664754414914694,0,Moderat/High Risk - Slightly Above Market Volatility
PEJ,-0.0791240564261041,0.28425457518113995,-0.33921725398670644,1.37612402021982,2,High Risk - Double Market Volatile
SMDV,0.009251158955192018,0.1855090785497968,-0.043387855234521065,0.8491017617272127,1,Moderat Risk - Slighty Below Market Volatility
DVYE,0.0017659686441620082,0.1791783834221216,-0.0866959008065263,0.7901602221452289,1,Moderat Risk - Slighty Below Market Volatility
FXO,-0.0037242802918192597,0.24639999379012725,-0.0853258150230589,1.2472644923353624,1,Moderat Risk - Slighty Below Market Volatility
INDY,-0.020483286484713314,0.209895234253917,-0.18001021613957016,0.7563642597408157,1,Moderat Risk - Slighty Below Market Volatility
PWV,0.029482332309605397,0.20005167543829547,0.06089592742932539,1.029645530678015,1,Moderat Risk - Slighty Below Market Volatility
SMLF,0.01224032022604904,0.22851837913857204,-0.022141237799007858,1.144097525898398,1,Moderat Risk - Slighty Below Market Volatility
XRT,-0.05487468494351222,0.27230588561931146,-0.26505003657693144,1.1843182091777766,2,High Risk - Double Market Volatile
EWS,-0.01588162700094764,0.18665189266107737,-0.17777278616295017,0.8504851868465492,1,Moderat Risk - Slighty Below Market Volatility
GMF,0.0577576018633954,0.17791077716067,0.22740388473969975,0.7915483898525277,0,Moderat/High Risk - Slightly Above Market Volatility
PSJ,0.21740968188895726,0.2286066841470525,0.8753448423241885,1.03426844044719,0,Moderat/High Risk - Slightly Above Market Volatility
SILJ,-0.16340274536704835,0.45169247215434755,-0.40005702221510686,1.0144184261751075,2,High Risk - Double Market Volatile
EMGF,0.010988851790880938,0.19716751400219595,-0.03200906721909965,0.8675571469331593,1,Moderat Risk - Slighty Below Market Volatility
CDC,0.06437047192562284,0.14332451064396642,0.32841885671984594,0.6259858508933008,0,Moderat/High Risk - Slightly Above Market Volatility
CRBN,0.059518798763072756,0.17992724498933638,0.23464372372052333,0.9621821538645352,0,Moderat/High Risk - Slightly Above Market Volatility
DWM,-0.004689514256286609,0.1750051281461668,-0.12565068514975544,0.8976169504169281,1,Moderat Risk - Slighty Below Market Volatility
KSA,0.04842815966691649,0.19888849604480124,0.156510609140031,0.38785009476849813,1,Moderat Risk - Slighty Below Market Volatility
EZM,-0.016734220437976566,0.24486243178930106,-0.13899323056328333,1.246413865326448,1,Moderat Risk - Slighty Below Market Volatility
FYX,-0.01930602998635511,0.2513932487885805,-0.14561262151132967,1.23854204975898,1,Moderat Risk - Slighty Below Market Volatility
OUSA,0.060170051684224735,0.18100392257388265,0.23684598142742422,0.9238495927379815,0,Moderat/High Risk - Slightly Above Market Volatility
KXI,0.026248150137032855,0.1473474167992369,0.06072824574335664,0.6404470992484947,1,Moderat Risk - Slighty Below Market Volatility
UWM,-0.05103023986015387,0.4732095767295849,-0.14439741548003604,2.355383079985972,2,High Risk - Double Market Volatile
RDIV,-0.036378578061274425,0.23451948744831178,-0.22888749521553176,1.1469614712411218,1,Moderat Risk - Slighty Below Market Volatility
CHIQ,0.12976122505656695,0.24072448509161293,0.46717817264732087,0.9442000255538212,0,Moderat/High Risk - Slightly Above Market Volatility
JPUS,0.04090904433719489,0.19808726453971046,0.11918506922721422,1.0378685110035983,1,Moderat Risk - Slighty Below Market Volatility
MLPX,-0.10484951034225343,0.2706432997824739,-0.45133025809406524,1.150381201020681,2,High Risk - Double Market Volatile
DWX,0.002689513278363531,0.1680808267647163,-0.08692536205862783,0.8264478797954118,1,Moderat Risk - Slighty Below Market Volatility
LGLV,0.07492541946568254,0.19628058858234468,0.2935869506092663,0.9782991777976974,0,Moderat/High Risk - Slightly Above Market Volatility
EWX,-0.015333123502393908,0.17614367802690972,-0.1852642335389891,0.8008894106352623,1,Moderat Risk - Slighty Below Market Volatility
UYG,0.027844992037937777,0.442418289875747,0.02383489172859317,2.235041353135134,2,High Risk - Double Market Volatile
TLTD,-0.004439504025959606,0.18057125440546604,-0.12039293905077691,0.9270070680362524,1,Moderat Risk - Slighty Below Market Volatility
FENY,-0.149122295381951,0.2806561191958928,-0.5929758305600716,1.240668267279495,2,High Risk - Double Market Volatile
MXI,0.03566877968937443,0.2120523920862441,0.08662377966433711,1.0618438199117932,1,Moderat Risk - Slighty Below Market Volatility
CNYA,0.04669676827653024,0.2071714289539187,0.14189586095421,0.6710297805522449,1,Moderat Risk - Slighty Below Market Volatility
IVLU,-0.01477762147092887,0.1846964309992896,-0.17367753831178387,0.9074605747644141,1,Moderat Risk - Slighty Below Market Volatility
FIDU,0.03360999103759088,0.22626495331500848,0.07208359402829805,1.1577926890720993,1,Moderat Risk - Slighty Below Market Volatility
EQAL,0.025669310995500183,0.20896867990255877,0.04005055207030431,1.0933128815913606,1,Moderat Risk - Slighty Below Market Volatility
SPXS,-0.37176685062701553,0.5526040616052079,-0.704060787206036,-2.8325630290342882,3,Betting against the market 
HDEF,-0.0038766477355730578,0.17973021377383486,-0.11782464000304858,0.8444624263803637,1,Moderat Risk - Slighty Below Market Volatility
EWP,-0.041363293976869664,0.2102297579533311,-0.27904372125040605,0.9099188398949779,1,Moderat Risk - Slighty Below Market Volatility
JKF,0.04564138397055495,0.183504999208837,0.15444475132964183,0.946282430358255,1,Moderat Risk - Slighty Below Market Volatility
XNTK,0.20146498887605535,0.22913186806919028,0.8037510907057397,1.1158842683575496,0,Moderat/High Risk - Slightly Above Market Volatility
VTWG,0.0587605249741463,0.2433180035393912,0.17039645390413613,1.2066570528679688,0,Moderat/High Risk - Slightly Above Market Volatility
IQDF,-0.013692617335786084,0.17387549528338947,-0.17824603337734873,0.883763599007689,1,Moderat Risk - Slighty Below Market Volatility
PSQ,-0.18832150105616785,0.19604149188121592,-1.048867252962738,-0.9501813464280787,3,Betting against the market 
PID,-0.013757621011237897,0.1994161417446499,-0.15574276354722993,1.008618672891798,1,Moderat Risk - Slighty Below Market Volatility
VTWV,-0.02706128272039765,0.23530580618920113,-0.18852608628249615,1.1542866468961965,1,Moderat Risk - Slighty Below Market Volatility
IVOV,-0.0162874669196863,0.23641041431313273,-0.14207270444185544,1.2053714508191729,1,Moderat Risk - Slighty Below Market Volatility
QEFA,0.02454518690160401,0.15930186754546732,0.045480866064147786,0.8085333396949691,1,Moderat Risk - Slighty Below Market Volatility
SPHB,0.030524491357261097,0.2618795712982499,0.050498369505118684,1.3485785493126987,1,Moderat Risk - Slighty Below Market Volatility
DTN,-0.00041259614648725407,0.2012472407185478,-0.08801410684312944,1.0471258360546436,1,Moderat Risk - Slighty Below Market Volatility
PICK,0.011527455819469568,0.28483772365447996,-0.020266080301683524,1.2138160973328458,1,Moderat Risk - Slighty Below Market Volatility
PFM,0.06605806150286075,0.17172962711424336,0.2839234110164602,0.8815652001221953,0,Moderat/High Risk - Slightly Above Market Volatility
HEZU,0.034307851099157016,0.18294855807044338,0.09296520988489143,0.8765624478275891,1,Moderat Risk - Slighty Below Market Volatility
DIV,-0.08906774585271804,0.22935481191803558,-0.4637694102129003,1.0568819208672513,2,High Risk - Double Market Volatile
DWAS,0.052488992374180476,0.2571934832951724,0.136819144572941,1.2212569367926156,1,Moderat Risk - Slighty Below Market Volatility
SDOW,-0.3868694039331245,0.6004574576659849,-0.673102480072703,-3.0549897058997915,3,Betting against the market 
ECH,-0.11680551555270491,0.25394784573025214,-0.5280829028774442,0.8919225483352514,2,High Risk - Double Market Volatile
IYE,-0.14451597164907537,0.2807678847958775,-0.5763336208011043,1.2562981373444455,2,High Risk - Double Market Volatile
RHS,0.03497027733880609,0.16256346278769238,0.10869771740703779,0.6568291127183747,1,Moderat Risk - Slighty Below Market Volatility
RING,0.04081256315959081,0.38366927085999325,0.061283415027967934,0.7837622466624738,1,Moderat Risk - Slighty Below Market Volatility
BBH,0.07859148588842979,0.24002131232886526,0.2553585150157468,0.9589820512346588,0,Moderat/High Risk - Slightly Above Market Volatility
PSCH,0.11900962346139754,0.2463449952917136,0.4128747301765005,1.1030388796672388,0,Moderat/High Risk - Slightly Above Market Volatility
VIDI,-0.020202372601426877,0.19635930630477388,-0.19098851644555395,0.9857335349448988,1,Moderat Risk - Slighty Below Market Volatility
GUSH,-0.806191848498504,1.0737445145905273,-0.7669346267277954,3.6216324135901288,2,High Risk - Double Market Volatile
ERUS,0.08177061916510864,0.24441671608598078,0.26377336295783144,0.8242340185838867,0,Moderat/High Risk - Slightly Above Market Volatility
EES,-0.030307230960141984,0.24606615528397477,-0.1934732995084206,1.1739995355715585,1,Moderat Risk - Slighty Below Market Volatility
FNY,0.07842334444546939,0.24115589450324587,0.25345988150684284,1.1981357057922661,0,Moderat/High Risk - Slightly Above Market Volatility
PTF,0.19070356265999822,0.2670219134392963,0.6493982476064425,1.1423100925482599,0,Moderat/High Risk - Slightly Above Market Volatility
PZD,0.07851728840366201,0.21501804020062606,0.2847076847437649,1.0961246129087932,0,Moderat/High Risk - Slightly Above Market Volatility
