,Date,BTC-USD,LTC-USD,NMC-USD,DOGE-USD,XRP-USD,DASH-USD,XMR-USD,XVG-USD,XLM-USD
66,2015-03-08,22067900.0,1281400.0,10721.0,66363.0,735996.0,32276.0,39107.0,1520.0,12794.0
67,2015-03-09,59178200.0,2713960.0,13921.0,61623.0,2361390.0,62809.0,110877.0,2855.0,29030.0
68,2015-03-10,67770800.0,4023500.0,18274.0,108727.0,1642070.0,399669.0,182299.0,945.0,17921.0
69,2015-03-11,33963900.0,1945020.0,10620.0,77208.0,755784.0,169890.0,95830.0,355.0,21507.0
70,2015-03-12,32585200.0,2153170.0,6389.0,68716.0,687546.0,108024.0,62621.0,1545.0,42002.0
71,2015-03-13,31421500.0,1702690.0,16394.0,91319.0,701607.0,240126.0,56953.0,657.0,13470.0
72,2015-03-14,22612300.0,1524990.0,7283.0,96006.0,798070.0,140162.0,83441.0,375.0,15790.0
73,2015-03-15,11970100.0,1035700.0,6023.0,68975.0,407154.0,57656.0,70322.0,551.0,7251.0
74,2015-03-16,21516100.0,1307010.0,8183.0,64949.0,859896.0,209706.0,110309.0,477.0,29363.0
75,2015-03-17,21497200.0,1493110.0,44280.0,68749.0,805396.0,82356.0,61111.0,1221.0,12128.0
76,2015-03-18,57008000.0,2976040.0,19822.0,122162.0,1632590.0,149599.0,51858.0,2048.0,15106.0
77,2015-03-19,52732000.0,2925790.0,6333.0,111357.0,2771610.0,162473.0,52047.0,590.0,25187.0
78,2015-03-20,18456700.0,1015870.0,1874.0,44816.0,447184.0,290947.0,28023.0,297.0,14655.0
79,2015-03-21,17130100.0,1025410.0,5279.0,83127.0,394129.0,819105.0,61605.0,413.0,26725.0
80,2015-03-22,18438100.0,1072060.0,7156.0,50874.0,306080.0,342711.0,108985.0,1980.0,40729.0
81,2015-03-23,22811900.0,1257730.0,7445.0,147271.0,670229.0,354223.0,45634.0,820.0,91492.0
82,2015-03-24,40073700.0,2014330.0,7003.0,91395.0,608763.0,540346.0,52144.0,1584.0,41355.0
83,2015-03-25,35866900.0,2189060.0,7077.0,79751.0,1160540.0,902236.0,98536.0,1421.0,24844.0
84,2015-03-26,25730000.0,1655180.0,8367.0,53301.0,609264.0,480884.0,44427.0,3128.0,15682.0
